"point","year","sm3_u1","night","species","ccounts","forest","y_coord","x_coord","mic_ht"
"213_7",2016,0,20160724,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myev",3,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"tabr",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"anpa",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"coto",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"epfu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"tabr",2,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"epfu",8,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"myth",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"mylu",36,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"epfu",11,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"epfu",1,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"tabr",6,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"eupe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160724,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myev",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"mylu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160712,"myci",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160720,"myvo",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"tabr",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160722,"myyu",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"anpa",2,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160620,"pahe",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160716,"lano",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160622,"euma",0,"plumas/lassen",40.14,121.06,2.5
"213_7",2016,0,20160718,"myca",2,"plumas/lassen",40.14,121.06,2.5
